No.,Time,Source,Destination,Protocol,Length,Info
1157,8.368972,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=765305 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1158,8.369743,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=766717 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1159,8.369759,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=768129 Win=1603840 Len=0
1160,8.370131,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=768129 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1161,8.370601,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=769541 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1162,8.370624,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=770953 Win=1603840 Len=0
1163,8.371428,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=770953 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1164,8.371428,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=772365 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1165,8.37146,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=773777 Win=1603840 Len=0
1166,8.371939,142.250.193.78,192.168.2.13,TCP,1466,80  >  57723 [ACK] Seq=773777 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]
1167,8.372589,142.250.193.78,192.168.2.13,TCP,1466,"80  >  57723 [PSH, ACK] Seq=775189 Ack=301 Win=269568 Len=1412 [TCP PDU reassembled in 1246]"
1168,8.372612,192.168.2.13,142.250.193.78,TCP,54,57723  >  80 [ACK] Seq=301 Ack=776601 Win=1603840 Len=0
