packet_length,inter_arrival_time,ttl,is_tcp,is_udp,is_icmp,src_port,dst_port,syn_flag,ack_flag,fin_flag,rst_flag,is_well_known_port
718,0.019305,0,0,1,0,61387,3702,0,0,0,0,0
54,0.029682,128,1,0,0,54447,443,0,1,0,0,0
90,0.075697,0,0,0,0,0,0,0,0,0,0,0
103,4.1e-05,255,0,1,0,5353,5353,0,0,0,0,0
123,0.000264,0,0,1,0,5353,5353,0,0,0,0,0
103,0.000321,255,0,1,0,5353,5353,0,0,0,0,0
123,0.000144,0,0,1,0,5353,5353,0,0,0,0,0
153,0.138943,100,1,0,0,443,54447,0,1,0,0,0
89,0.000653,128,1,0,0,54447,443,0,1,0,0,0
718,0.065009,0,0,1,0,61387,3702,0,0,0,0,0
89,0.249097,128,1,0,0,54447,443,0,1,0,0,0
90,0.053731,0,0,0,0,0,0,0,0,0,0,0
54,0.001796,100,1,0,0,443,54447,0,1,0,0,0
90,0.038231,128,1,0,0,61934,443,0,1,0,0,0
698,0.062909,1,0,1,0,61386,3702,0,0,0,0,0
66,0.060959,100,1,0,0,443,54447,0,1,0,0,0
698,0.043588,1,0,1,0,61386,3702,0,0,0,0,0
54,0.071484,246,1,0,0,443,61934,0,1,0,0,0
107,0.130628,255,0,1,0,5353,5353,0,0,0,0,0
127,0.000294,0,0,1,0,5353,5353,0,0,0,0,0
103,0.101793,255,0,1,0,5353,5353,0,0,0,0,0
123,0.000268,0,0,1,0,5353,5353,0,0,0,0,0
105,0.194082,128,1,0,0,62488,443,0,1,0,0,0
94,0.123702,108,1,0,0,443,62488,0,1,0,0,0
54,0.046136,128,1,0,0,62488,443,0,1,0,0,0
120,0.189008,60,0,1,0,443,56461,0,0,0,0,0
75,0.010887,128,0,1,0,56461,443,0,0,0,0,0
683,0.066159,128,0,1,0,60883,443,0,0,0,0,0
70,0.057501,60,0,1,0,443,60883,0,0,0,0,0
74,0.031903,128,0,1,0,60883,443,0,0,0,0,0
718,0.000692,0,0,1,0,61387,3702,0,0,0,0,0
64,0.02456,60,0,1,0,443,60883,0,0,0,0,0
75,0.00019,128,0,1,0,60883,443,0,0,0,0,0
173,0.085858,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000204,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
620,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000169,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
165,0.0,128,1,0,0,54447,443,0,1,0,0,0
103,0.197848,255,0,1,0,5353,5353,0,0,0,0,0
123,0.000281,0,0,1,0,5353,5353,0,0,0,0,0
54,0.032423,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
66,0.0,100,1,0,0,443,54447,0,1,0,0,0
74,0.0,100,1,0,0,443,54447,0,1,0,0,0
74,0.0,100,1,0,0,443,54447,0,1,0,0,0
66,0.0,100,1,0,0,443,54447,0,1,0,0,0
66,0.0,100,1,0,0,443,54447,0,1,0,0,0
66,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
153,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.046846,128,1,0,0,54447,443,0,1,0,0,0
90,0.020595,0,0,0,0,0,0,0,0,0,0,0
1288,0.248944,60,0,1,0,443,60883,0,0,0,0,0
82,0.0,60,0,1,0,443,60883,0,0,0,0,0
79,0.00028,128,0,1,0,60883,443,0,0,0,0,0
75,0.000129,128,0,1,0,60883,443,0,0,0,0,0
111,0.00031,60,0,1,0,443,60883,0,0,0,0,0
75,0.000922,128,0,1,0,60883,443,0,0,0,0,0
653,0.004017,128,0,1,0,65182,443,0,0,0,0,0
66,0.048768,60,0,1,0,443,60883,0,0,0,0,0
70,0.013566,60,0,1,0,443,65182,0,0,0,0,0
74,0.035938,128,0,1,0,65182,443,0,0,0,0,0
64,0.021974,60,0,1,0,443,65182,0,0,0,0,0
75,0.000221,128,0,1,0,65182,443,0,0,0,0,0
698,0.138641,1,0,1,0,61386,3702,0,0,0,0,0
698,0.000176,1,0,1,0,61386,3702,0,0,0,0,0
90,5.6e-05,0,0,0,0,0,0,0,0,0,0,0
551,0.094302,60,0,1,0,443,65182,0,0,0,0,0
63,0.0,60,0,1,0,443,65182,0,0,0,0,0
79,0.001249,128,0,1,0,65182,443,0,0,0,0,0
75,0.000209,128,0,1,0,65182,443,0,0,0,0,0
72,0.067939,128,0,1,0,65182,443,0,0,0,0,0
72,0.14067,128,0,1,0,65182,443,0,0,0,0,0
69,0.028947,60,0,1,0,443,65182,0,0,0,0,0
60,0.788442,0,0,0,0,0,0,0,0,0,0,0
718,0.001298,0,0,1,0,61387,3702,0,0,0,0,0
90,0.127629,128,1,0,0,55886,443,0,1,0,0,0
173,0.093779,128,1,0,0,54447,443,0,1,0,0,0
1494,0.000123,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
1494,0.0,128,1,0,0,54447,443,0,1,0,0,0
186,0.0,128,1,0,0,54447,443,0,1,0,0,0
54,0.12864,246,1,0,0,443,55886,0,1,0,0,0
718,0.060525,0,0,1,0,61387,3702,0,0,0,0,0
54,0.028101,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.0,100,1,0,0,443,54447,0,1,0,0,0
89,0.0,100,1,0,0,443,54447,0,1,0,0,0
54,0.046152,128,1,0,0,54447,443,0,1,0,0,0
108,0.000502,128,1,0,0,60601,27024,0,1,0,0,0
54,0.078854,119,1,0,0,27024,60601,0,1,0,0,0
148,0.137497,100,1,0,0,443,54447,0,1,0,0,0
54,0.047314,128,1,0,0,54447,443,0,1,0,0,0
698,0.171717,1,0,1,0,61386,3702,0,0,0,0,0
698,0.001058,1,0,1,0,61386,3702,0,0,0,0,0
60,8.8e-05,0,0,0,0,0,0,0,0,0,0,0
60,0.940483,0,0,0,0,0,0,0,0,0,0,0
42,1.8e-05,0,0,0,0,0,0,0,0,0,0,0
